Uni,grade
ame2154hw4,69,
amv2142hw4,59,
an2505hw4,59,
as4194hw4,79,
bar2150hw4,82,
bc2490hw4,69,
bj2240hw4,59,
bjn2116hw4,100,
ddd2124hw4,79,
dgf2106hw4,72,
dkd2110hw4,59,
dlp2136hw4,62,
fv2164hw4,79,
gc2513hw4,72,
gh2162hw4,69,
gwc2124hw4,79,
hgv2103hw4,79,
hm2528hw4,69,
hw4tbp2108,85,
hy2326hw4,72,
idc2114hw4,59,
iw2171hw4,72,
jcc2220hw4,72,
jj2560hw4,79,
jj2562hw4,82,
jsc2197hw4,72,
jzf2101hw4,69,
kds2124hw4,85,
kt2384hw4,82,
lc2808hw4,82,
ln2266hw4,72,
mad2200hw4,59,
mmd2165hw4,75,
ms4384hw4,62,
mz2332hw4,79,
og2165hw4,59,
pr2390hw4,79,
pw2336hw4,82,
rz2227hw4,82,
sh2725hw4,72,
skk2142hw4,72,
sq2139hw4,69,
ss4100hw4,72,
ss4173hw4,69,
sz2338hw4,82,
tbp2108hw4,85,
vsi2101hw4,62,
wg2216hw4,100,
xz2275hw4,82,
yd2234enhw4,85,
yd2234hw4,85,
yk2463hw4,79,
yn2230hw4,79,
yz2416hw4,82,
